date_received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
09/10/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,TN,37040,,N/A,Postal mail,09/10/2013,Closed with explanation,Yes,Yes,520930
09/10/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,Bank of America,OH,44147,,N/A,Web,09/10/2013,Closed with non-monetary relief,Yes,No,521419
08/30/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Fifth Third Financial Corporation,NC,28075,,N/A,Postal mail,09/04/2013,Closed with monetary relief,Yes,No,511169
09/17/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Banco Popular de Puerto Rico,PR,00639,,N/A,Postal mail,10/08/2013,Closed with explanation,Yes,No,530694
09/17/2013,Mortgage,Conventional fixed mortgage,Settlement process and costs,,,,Guaranteed Rate,CA,90066,,N/A,Web,09/18/2013,Closed with explanation,Yes,No,530695
09/10/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMorgan Chase & Co.,WA,98110,,N/A,Referral,09/10/2013,Closed with explanation,Yes,No,521455
09/24/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,Capital One,IL,60628,,N/A,Web,09/25/2013,Closed with explanation,Yes,No,540391
09/17/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Ocwen,FL,33619,,N/A,Web,09/18/2013,Closed with explanation,Yes,No,530701
09/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,"TransUnion Intermediate Holdings, Inc.",AR,72824,Servicemember,N/A,Web,09/24/2013,Closed with explanation,Yes,No,540833
09/24/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Experian,WV,24910,,N/A,Postal mail,10/07/2013,Closed with explanation,Yes,No,541178
09/17/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,FL,34120,Older American,N/A,Web,09/18/2013,Closed with explanation,Yes,No,530709
09/17/2013,Credit card,,Billing statement,,,,Bank of America,LA,71467,Older American,N/A,Web,09/17/2013,Closed with explanation,Yes,No,531858
08/30/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,,,HSBC North America Holdings Inc.,CO,80207,Older American,N/A,Web,09/04/2013,Closed with explanation,Yes,No,511192
08/30/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,Bank of America,KY,41006,,N/A,Postal mail,09/04/2013,Closed with monetary relief,Yes,No,511193
09/10/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,RMP Group Inc.,IN,46060,,N/A,Web,09/14/2013,Closed with explanation,Yes,Yes,521464
